Banner,UPC,Kansas,New York,Northern California,Texas
Safeway,11873171,,6.09,,5.19
Safeway,676274385,,48.79,,41.99
Safeway,676939567,38.39,,,
Safeway,677674656,19.59,22.99,,19.79
Safeway,678530217,,,,39.69
Safeway,678539677,28.09,32.99,,
Safeway,678675568,20.29,,,20.49
Safeway,680584021,20.29,,,20.49
Safeway,681789308,50.49,,,50.99
Safeway,683028909,44.69,,,
Safeway,683810722,19.49,,,19.69
Safeway,685061388,49.39,57.89,,49.89
Safeway,685715810,26.29,30.89,,26.59
Safeway,676268953,59.49,,,
Safeway,687061455,36.89,,,37.19
Safeway,688858216,17.99,,,18.19
Safeway,690069404,18.79,,,
Safeway,690308756,,50.79,,43.79
Safeway,690392986,,,,45.89
Safeway,690451660,21.99,,,22.29
Safeway,692276824,57.59,,,58.19
Safeway,694468735,1.59,1.89,,1.59
Safeway,694669999,22.59,26.49,,22.79
Safeway,695599406,11.29,,,11.39
Safeway,696954302,30.59,,,30.89
Safeway,697589645,27.89,,,28.19
Safeway,698510708,32.39,,,32.69
Safeway,688174297,45.69,53.59,,46.19
Safeway,675134953,,,,28.79
Safeway,674159443,,19.39,,16.69
Safeway,673299284,9.69,,,9.79
Safeway,643048328,,,,42.49
Safeway,643110527,11.29,,,11.39
Safeway,643610475,,,,14.09
Safeway,643629043,6.39,7.49,,6.49
Safeway,643891644,,,,40.39
Safeway,643896037,1.39,,,1.39
Safeway,644054876,28.19,32.99,,28.49
Safeway,644874729,30.49,,,
Safeway,645118810,,,,36.99
Safeway,645331356,23.19,27.19,,23.39
Safeway,646431619,2.39,,,2.49
Safeway,646726630,22.09,,,22.39
Safeway,647962512,6.89,,,6.99
Safeway,649976289,,,,4.89
Safeway,650943158,14.89,17.49,,
Safeway,651936351,2.99,,,
Safeway,652377244,31.69,,,31.99
Safeway,653798822,29.29,34.39,,29.59
Safeway,654081535,27.39,32.09,,27.69
Safeway,654483249,,,,26.59
Safeway,655347860,52.79,,,53.29
Safeway,658435562,35.29,,,
Safeway,659422945,5.09,5.99,,5.19
Safeway,663501723,13.69,,,13.79
Safeway,665091890,5.29,,,5.39
Safeway,667968672,15.29,17.99,,15.49
Safeway,672429356,,8.89,,7.69
Safeway,698731992,47.89,,,48.29
Safeway,641701426,,,,40.49
Safeway,698832542,20.09,,,20.29
Safeway,700041439,23.09,,,23.39
Safeway,739054494,22.79,,,22.99
Safeway,739430945,59.49,,,60.09
Safeway,740153739,16.29,,,16.39
Safeway,740420827,9.29,,,9.39
Safeway,742030365,49.39,57.89,,49.89
Safeway,742726716,42.19,,,42.59
Safeway,743414051,,39.39,,33.89
Safeway,744228999,7.19,,,7.19
Safeway,744486125,19.09,22.39,,19.29
Safeway,744789087,3.29,,,3.39
Safeway,745216676,19.39,,,19.59
Safeway,745790660,45.09,52.89,,45.59
Safeway,737234743,51.69,,,52.19
Safeway,746596885,6.39,,,6.49
Safeway,748626363,7.89,9.19,,7.89
Safeway,749133422,48.99,,,49.49
Safeway,749696942,3.69,,,3.79
Safeway,750854309,32.39,37.99,,32.79
Safeway,751783597,58.49,,,59.09
Safeway,753436797,,53.09,,45.69
Safeway,757501813,38.19,,,38.59
Safeway,757630984,27.09,,,27.29
Safeway,758967619,,46.49,,39.99
Safeway,760445497,7.99,,,7.99
Safeway,762004012,1.59,,,1.59
Safeway,762710881,45.99,53.99,,46.49
Safeway,746763504,52.19,,,52.69
Safeway,737000536,7.89,9.29,,7.99
Safeway,736362595,33.19,,,33.49
Safeway,736014357,10.39,,,10.49
Safeway,700311165,41.69,,,42.09
Safeway,700660531,39.29,,,39.69
Safeway,701377201,3.49,,,3.59
Safeway,702065059,51.19,60.09,,
Safeway,702239031,10.69,,,
Safeway,702868026,15.49,18.19,,15.69
Safeway,704505214,29.09,,,29.39
Safeway,708247357,10.79,,,10.89
Safeway,708419030,12.29,14.39,,12.39
Safeway,708930835,17.69,,,17.89
Safeway,709096794,39.09,45.79,,39.49
Safeway,711957058,21.99,,,22.19
Safeway,713032211,8.89,,,8.99
Safeway,714138116,56.19,,,56.79
Safeway,714264288,15.69,,,15.79
Safeway,714768657,,,,27.19
Safeway,715494692,59.69,70.09,,60.29
Safeway,716383928,,,,29.69
Safeway,723419379,43.29,50.79,,43.69
Safeway,723906184,18.89,,,19.09
Safeway,723934665,47.79,,,48.19
Safeway,725772193,8.99,,,9.09
Safeway,726107443,55.59,,,56.19
Safeway,726593797,17.49,20.49,,17.69
Safeway,727229928,28.39,,,
Safeway,728311671,22.39,,,22.69
Safeway,731963540,53.99,,,54.49
Safeway,699701113,2.99,,,2.99
Safeway,762977091,13.79,,,13.99
Safeway,641206219,20.69,,,
Safeway,637601085,34.29,,,34.59
Safeway,545019950,57.19,,,57.79
Safeway,545133835,32.69,,,32.99
Safeway,545319478,53.59,,,54.09
Safeway,546802474,44.69,52.49,,45.19
Safeway,549109328,24.59,,,24.79
Safeway,549838046,,65.99,,
Safeway,549873373,44.99,52.69,,45.39
Safeway,551067349,4.99,,,5.09
Safeway,554043945,19.29,,,19.49
Safeway,554693845,3.99,4.69,,
Safeway,554753210,,,,36.89
Safeway,555173446,7.99,9.39,,8.09
Safeway,544719559,44.39,,,44.89
Safeway,555275616,40.99,,,41.49
Safeway,556223651,34.29,,,34.59
Safeway,557031026,20.09,,,
Safeway,557394018,46.69,54.79,,47.19
Safeway,557637639,0.89,,,0.89
Safeway,561425157,,,,12.29
Safeway,564014969,9.69,,,9.79
Safeway,564734116,41.09,48.19,,41.49
Safeway,565021540,18.39,,,18.59
Safeway,565170341,,11.29,,9.69
Safeway,565229692,48.79,57.19,,49.19
Safeway,568256903,52.39,,,52.99
Safeway,568480217,20.59,,,20.79
Safeway,555531366,11.69,13.79,,11.89
Safeway,543464804,,,,19.49
Safeway,542244776,34.59,40.59,,34.89
Safeway,541944658,40.69,,,
Safeway,514730047,42.69,,,43.19
Safeway,514805290,6.39,,,6.49
Safeway,514912132,39.59,,,39.99
Safeway,514987291,54.89,,,55.49
Safeway,516205909,33.89,,,34.29
Safeway,517769564,19.49,,,19.69
Safeway,518047270,27.49,,,27.79
Safeway,523773926,12.49,,,12.59
Safeway,525996730,45.19,,,45.59
Safeway,526069074,8.89,,,
Safeway,526212256,31.59,,,31.89
Safeway,526328901,1.89,,,
Safeway,529559570,7.89,,,7.99
Safeway,529968586,,,,35.39
Safeway,531197407,24.39,,,24.69
Safeway,531867954,51.89,60.79,,52.39
Safeway,533704030,55.29,,,
Safeway,534498710,51.09,,,51.69
Safeway,534500231,51.39,,,51.89
Safeway,535286391,29.09,34.19,,
Safeway,535529908,2.29,2.69,,2.29
Safeway,536411687,39.29,,,
Safeway,537045183,16.49,,,16.59
Safeway,538593323,17.89,20.99,,18.09
Safeway,538783344,48.79,,,49.29
Safeway,541222561,2.89,3.39,,
Safeway,541553073,31.09,,,31.39
Safeway,569684083,,,,22.39
Safeway,641131808,,,,26.99
Safeway,571419391,,,,42.09
Safeway,574010167,,,,15.09
Safeway,604540867,13.49,15.89,,13.69
Safeway,606279907,44.99,,,45.39
Safeway,606513778,1.99,,,1.99
Safeway,607409332,39.89,,,40.29
Safeway,612017146,22.49,,,
Safeway,612864775,,27.89,,23.99
Safeway,614172105,32.69,,,32.99
Safeway,614290704,37.49,,,37.79
Safeway,614892418,58.79,,,59.39
Safeway,615121896,39.79,,,40.19
Safeway,615706094,44.29,,,44.79
Safeway,616240709,57.09,,,57.69
Safeway,604272498,0.89,,,0.89
